athlete_id,sport,age,gender,training_years,vo2_max,hrv,lactate_threshold,stride_length,cadence,force_application,performance_score,adaptability_score,skiing_potential
A0039,cycling,23,M,11,58.8,63.8,88.0,1.16,160,389.9,7.55,8.04,63.3
A0040,running,20,M,12,73.3,66.4,71.0,1.33,159,257.8,9.19,7.66,74.4
A0041,cycling,33,M,13,70.0,63.4,84.5,1.34,166,398.7,8.95,7.01,79.9
A0042,running,25,M,10,60.8,75.3,70.5,1.47,162,245.9,7.17,9.77,77.2
A0043,running,19,M,6,62.3,93.7,73.5,0.84,183,241.6,7.07,9.25,71.2
A0044,cycling,34,M,12,56.6,96.3,89.8,0.83,194,309.0,8.06,7.93,71.8
A0045,cycling,26,M,8,67.6,62.9,77.2,1.49,200,368.4,9.08,5.03,85.3
A0046,running,29,F,13,70.1,85.4,86.4,1.25,154,349.9,7.99,7.16,88.7
A0047,rowing,20,M,9,56.0,87.4,77.5,1.3,197,344.7,9.0,8.5,83.1
A0048,cycling,28,F,10,51.0,81.4,86.8,0.87,159,256.5,9.0,5.59,99.0
A0049,rowing,18,F,4,65.6,86.7,89.3,0.85,181,204.5,9.42,7.03,97.8
A0050,rowing,30,M,1,64.1,69.3,78.7,0.91,161,232.3,7.3,5.96,63.9
A0051,rowing,32,M,14,60.1,79.6,81.2,1.1,162,269.9,8.73,6.69,70.5
A0052,cycling,22,F,8,66.1,75.6,82.6,0.88,170,394.3,7.19,5.13,94.7
A0053,rowing,34,F,2,63.8,63.6,88.7,1.11,197,384.0,7.53,5.63,61.2
A0054,cycling,23,F,11,56.3,85.0,75.1,1.19,182,240.1,7.98,7.27,83.7
A0055,rowing,28,F,1,59.9,79.8,82.2,0.8,190,345.1,9.12,9.49,98.2
A0056,running,35,M,13,60.7,71.0,76.5,0.88,197,315.8,9.92,7.45,87.1
A0057,running,21,M,7,72.0,78.9,74.3,1.06,200,210.0,8.03,7.27,63.7
A0058,cycling,20,M,12,74.0,91.0,71.7,0.84,196,274.3,8.56,8.94,89.9
A0059,running,30,F,10,72.3,92.1,82.4,0.89,199,297.2,7.78,6.34,75.1
A0060,running,26,M,9,68.0,86.0,87.6,0.96,181,333.5,9.03,5.48,96.9
A0061,rowing,23,F,11,64.6,78.7,77.0,1.1,161,259.0,8.1,6.05,71.5
A0062,cycling,29,M,15,67.2,83.0,81.1,1.3,195,386.8,8.44,8.96,78.9
A0063,rowing,19,F,12,73.5,75.4,82.8,0.89,184,290.4,8.7,8.39,89.9
A0064,rowing,20,M,12,56.2,65.1,78.3,1.32,185,249.7,9.06,5.46,70.3
A0065,rowing,20,M,9,63.4,75.4,88.1,1.4,187,263.3,7.18,8.34,67.3
A0066,rowing,29,F,3,67.2,81.2,77.3,1.26,197,350.4,8.66,9.66,60.1
A0067,rowing,32,F,6,67.0,84.0,72.5,0.83,177,328.1,8.29,5.22,79.5
A0068,rowing,26,F,7,56.3,97.4,72.9,1.11,162,348.4,7.4,8.08,97.1
A0069,rowing,25,F,14,64.7,91.1,87.8,1.26,161,258.5,7.62,6.9,71.3
A0070,cycling,28,F,10,69.9,66.1,89.8,1.48,171,265.4,9.65,7.51,61.7
A0071,running,33,M,9,61.9,67.0,75.8,1.47,193,279.3,9.62,7.64,84.8
A0072,rowing,21,F,15,69.8,64.0,72.9,1.08,151,237.7,7.1,8.86,62.2
A0073,rowing,18,M,2,59.0,89.5,79.6,1.23,178,338.2,9.07,7.79,80.3
A0074,rowing,24,M,8,73.5,88.2,84.2,1.42,162,265.9,8.66,7.97,75.3
A0075,rowing,19,M,14,63.3,99.5,82.2,1.38,184,265.2,9.82,6.66,79.0
A0076,rowing,22,M,7,64.9,80.9,89.0,1.14,162,253.9,9.72,5.63,66.5
A0077,rowing,24,M,4,50.8,93.1,86.4,0.98,183,290.6,8.74,8.41,63.6
A0078,running,21,F,2,54.3,83.1,87.4,0.9,168,354.4,7.42,5.0,90.0
A0079,running,22,F,8,65.8,95.0,80.8,1.14,158,367.1,8.38,6.64,69.8
A0080,rowing,18,M,11,60.5,88.8,76.5,1.31,180,360.9,9.18,6.09,92.0
A0081,running,18,M,5,62.7,85.7,84.0,1.48,182,324.2,9.86,6.94,90.3
A0082,cycling,32,F,6,51.6,82.6,78.8,1.4,176,256.1,8.09,6.56,67.9
A0083,rowing,27,F,14,70.9,88.9,75.8,0.94,194,347.0,9.35,8.52,96.3
A0084,cycling,35,M,11,69.6,76.8,73.0,1.3,151,207.9,9.05,6.3,66.5
A0085,cycling,20,F,7,54.6,63.9,80.6,1.0,164,359.6,7.23,7.8,91.9
A0086,rowing,28,F,15,65.9,61.6,81.9,1.28,168,356.0,8.67,7.28,76.8
A0087,running,32,F,15,70.5,79.2,81.4,1.27,180,334.0,7.55,9.01,67.3
A0088,cycling,28,M,10,66.0,84.0,72.3,0.99,165,219.6,9.05,7.14,97.5
A0089,rowing,34,F,1,57.8,63.2,81.4,0.96,192,399.5,8.83,9.32,98.5
A0090,cycling,34,M,8,66.4,71.5,73.4,0.87,164,351.3,9.92,5.0,80.5
A0091,cycling,23,M,4,55.3,72.9,83.3,0.84,155,347.0,9.81,8.02,78.8
A0092,cycling,22,M,13,58.0,82.5,78.6,1.4,163,212.8,7.03,5.05,96.0
A0093,cycling,25,M,9,56.0,71.1,87.0,0.83,176,279.7,7.24,8.57,83.8
A0094,running,19,M,1,63.9,63.8,85.6,0.86,187,217.2,9.31,6.17,70.6
A0095,cycling,33,F,11,52.7,66.6,84.5,0.97,168,272.2,9.06,6.9,77.0
A0096,cycling,29,M,2,73.3,67.0,84.0,1.42,186,314.1,9.4,6.9,93.4
A0097,cycling,23,M,14,58.3,93.7,81.2,1.03,192,375.8,7.8,9.23,94.4
A0098,running,18,M,6,55.5,71.4,71.2,0.93,153,256.6,9.55,5.51,97.6
A0099,cycling,21,F,11,62.4,88.6,83.1,1.3,175,324.7,8.33,8.33,71.5
A0100,cycling,34,F,10,56.9,82.7,79.3,1.02,158,232.9,7.79,9.91,87.2
A0101,running,30,F,11,63.4,99.1,79.4,1.03,190,270.8,7.03,5.11,62.7
A0102,running,35,F,14,58.7,70.9,77.6,1.32,198,389.4,9.61,9.83,89.0
A0103,running,22,F,1,53.3,66.3,88.6,0.98,189,349.5,8.61,5.09,82.5
A0104,cycling,20,F,4,56.6,62.1,75.0,1.43,164,309.2,9.93,9.21,70.0
A0105,running,28,F,8,61.0,69.6,76.3,1.19,190,250.3,9.14,9.81,86.2
A0106,running,30,M,15,50.8,87.4,89.3,1.18,186,275.9,7.24,9.97,65.4
A0107,cycling,21,M,10,69.3,63.4,86.2,0.99,153,231.3,8.76,7.3,73.4
A0108,running,31,F,5,65.5,69.8,70.3,1.38,175,270.7,7.05,9.33,76.0
A0109,cycling,28,M,13,65.0,94.2,88.1,1.2,167,230.1,8.67,5.61,91.1
A0110,rowing,27,M,9,63.7,83.3,74.5,0.91,190,359.1,8.05,7.13,72.4
A0111,running,35,F,11,64.8,62.8,84.1,0.94,184,216.2,8.93,6.54,62.0
A0112,rowing,23,M,11,73.4,61.9,81.1,1.13,190,237.9,8.62,6.98,67.2
A0113,cycling,32,M,6,50.2,62.4,80.7,1.35,190,338.2,7.78,8.51,84.3
A0114,running,27,F,1,51.2,97.7,84.4,1.46,178,380.5,7.49,5.44,60.6
A0115,cycling,22,M,6,54.8,94.0,74.1,1.26,173,392.9,8.21,9.99,91.7
A0116,rowing,22,F,6,54.2,93.8,73.2,1.15,153,367.2,9.96,8.18,96.0
A0117,cycling,27,F,13,54.5,97.0,83.0,0.98,170,242.3,8.31,9.37,79.8
A0118,running,22,M,6,66.8,80.2,75.8,1.27,188,257.1,9.25,9.15,88.3
A0119,running,20,M,8,61.5,69.9,89.5,1.49,156,374.2,7.17,8.83,78.5
A0120,rowing,23,M,15,74.8,76.1,79.0,1.13,172,377.9,8.14,5.2,72.4
A0121,cycling,21,F,6,55.7,88.8,72.2,0.91,189,328.1,8.74,7.58,66.6
A0122,running,35,F,5,57.8,95.0,83.7,0.87,170,262.7,9.25,6.64,80.7
A0123,rowing,26,F,15,74.6,77.4,76.1,0.99,150,244.8,8.59,5.56,97.2
A0124,running,34,M,11,70.8,81.4,73.0,1.2,190,370.5,8.55,6.71,95.6
A0125,running,30,M,2,61.7,97.3,78.5,1.46,174,241.1,9.29,8.22,96.8
A0126,cycling,32,F,4,63.9,64.3,89.3,1.01,180,332.4,7.94,6.15,98.7
A0127,running,34,M,14,71.1,94.5,78.2,1.01,193,393.6,7.27,7.22,66.6
A0128,cycling,30,M,15,62.0,66.4,76.9,1.14,187,341.1,8.04,7.02,65.9
A0129,running,33,F,10,55.2,79.4,78.9,1.44,194,251.5,7.48,5.26,77.1
A0130,rowing,21,F,5,70.7,68.7,70.2,1.09,154,256.5,9.9,8.14,87.6
A0131,running,22,M,10,63.4,84.1,72.7,0.96,180,218.6,8.73,8.09,77.6
A0132,cycling,22,F,4,53.8,82.3,87.0,0.91,200,337.2,8.34,9.83,95.7
A0133,cycling,26,M,2,62.6,75.2,89.6,1.12,150,303.7,9.74,6.49,88.7
A0134,rowing,34,F,7,60.3,94.5,73.2,1.36,179,241.3,9.7,7.09,85.4
A0135,running,30,F,10,71.9,86.4,80.7,1.0,167,245.5,8.25,7.02,62.8
A0136,running,19,F,10,53.2,88.8,89.3,1.16,157,201.8,9.62,9.6,67.0
A0137,rowing,30,M,2,71.9,66.0,73.1,1.22,175,395.7,7.19,7.04,77.1
A0138,running,20,M,1,62.8,95.3,73.7,1.12,189,365.6,9.66,7.21,99.1
A0139,running,27,F,14,60.1,66.7,88.5,0.93,164,278.8,7.93,6.26,73.4
A0140,cycling,19,F,5,54.0,68.9,84.1,1.45,168,389.2,8.7,5.01,85.2
A0141,running,30,F,12,67.5,65.1,73.0,1.2,159,335.4,7.81,5.55,99.6
A0142,running,34,M,13,73.2,77.6,77.9,1.31,173,350.3,9.95,8.52,70.6
A0143,rowing,31,F,1,59.4,95.5,71.1,1.25,165,336.0,7.22,8.41,66.7
A0144,rowing,29,F,1,56.0,70.1,78.7,1.5,192,351.4,8.34,6.61,81.9
A0145,cycling,29,F,15,63.9,75.0,85.6,1.12,180,234.2,8.86,7.37,82.1
A0146,running,28,F,1,69.9,93.8,81.1,1.1,193,312.5,8.85,6.49,96.9
A0147,running,24,M,6,50.1,84.7,82.9,1.05,165,369.9,9.22,8.65,61.1
A0148,running,21,M,9,65.8,90.1,76.5,1.05,165,203.9,9.17,9.21,76.3
A0149,cycling,18,F,10,64.9,68.6,73.2,0.99,177,224.7,9.38,9.5,72.5
A0150,cycling,20,M,13,58.0,88.7,70.3,1.49,169,249.1,7.7,5.87,82.8
A0151,rowing,30,M,11,61.3,69.1,86.4,1.41,184,258.9,8.11,8.48,60.4
A0152,cycling,32,M,12,56.2,99.5,82.7,1.02,158,236.5,8.15,9.82,88.4
A0153,running,19,F,1,69.7,82.4,74.6,1.01,189,324.9,9.87,8.25,79.4
A0154,running,28,M,5,65.9,87.8,78.4,0.87,159,258.8,8.23,6.75,88.0
A0155,cycling,21,M,15,63.3,64.7,86.0,1.41,194,231.6,7.67,8.18,77.9
A0156,running,34,M,9,59.8,70.0,80.8,1.06,167,381.2,8.9,8.44,79.0
A0157,running,20,F,14,57.3,65.6,76.0,1.2,194,339.0,8.28,6.99,95.8
A0158,cycling,35,F,9,70.6,75.6,75.3,1.43,194,249.2,7.75,5.52,68.4
A0159,cycling,25,M,1,61.3,71.4,74.4,1.09,164,272.2,9.15,8.03,68.7
A0160,running,22,M,8,62.5,89.3,86.5,1.36,194,348.2,7.58,9.01,82.4
A0161,running,24,F,1,63.0,64.3,81.6,1.1,179,358.2,8.9,9.99,86.4
A0162,running,25,F,15,61.2,90.1,84.2,1.29,197,235.3,8.29,6.12,74.2
A0163,rowing,22,M,8,56.4,61.8,87.2,1.1,181,387.3,7.96,8.5,80.8
A0164,rowing,34,M,1,53.0,68.1,89.7,1.07,189,357.1,9.84,5.14,69.1
A0165,rowing,22,F,12,52.5,91.7,75.0,1.49,176,371.4,7.97,9.85,65.4
A0166,cycling,21,F,5,68.9,89.7,73.6,1.23,176,228.8,8.04,5.06,69.5
A0167,rowing,19,M,8,55.6,79.1,79.2,1.06,168,228.7,9.61,6.79,96.7
A0168,cycling,28,F,6,51.4,62.0,70.7,0.98,159,261.1,7.39,5.38,92.1
A0169,cycling,30,M,9,69.9,84.4,85.8,0.83,193,212.9,7.32,8.1,65.6
A0170,rowing,32,M,1,53.9,76.3,87.7,1.29,195,218.2,7.85,6.7,61.9
A0171,rowing,29,M,9,65.6,72.7,83.7,1.06,155,228.6,8.77,8.66,63.7
A0172,rowing,28,F,1,58.5,85.6,75.4,1.37,173,342.5,8.15,7.43,71.7
A0173,running,24,M,10,53.2,77.5,72.5,1.05,158,206.0,8.83,7.1,92.5
A0174,rowing,22,M,10,60.4,63.7,77.6,1.06,176,216.6,7.48,6.74,72.9
A0175,running,34,F,3,50.4,96.6,86.7,1.35,156,388.8,7.78,5.43,67.4
A0176,cycling,26,F,1,71.0,91.1,77.0,1.14,155,216.7,8.7,6.02,75.8
A0177,running,31,M,3,62.8,62.3,70.7,1.42,182,307.5,7.65,8.2,65.0
A0178,rowing,29,M,12,53.5,81.0,75.5,1.21,170,328.5,8.27,7.48,78.8
A0179,cycling,23,F,11,55.9,63.3,89.8,0.97,195,391.7,8.72,5.35,87.0
A0180,cycling,34,F,13,61.2,93.5,83.5,1.2,187,380.0,9.92,7.72,74.8
A0181,cycling,33,F,2,54.7,84.5,88.0,0.8,193,288.1,7.24,5.27,66.9
A0182,running,29,M,2,56.7,66.9,85.5,1.02,166,388.4,8.38,7.56,78.1
A0183,rowing,29,M,9,63.4,60.8,80.8,0.95,180,286.5,8.19,9.82,90.5
A0184,cycling,23,M,8,70.8,61.3,73.0,1.26,186,334.0,9.47,6.54,63.1
A0185,cycling,21,F,1,60.0,80.3,77.0,0.9,160,251.9,9.7,8.62,62.8
A0186,cycling,23,M,12,67.9,89.4,81.7,1.0,177,327.3,9.72,8.73,72.7
A0187,running,28,F,14,71.9,64.8,87.4,1.03,154,307.6,8.13,7.02,76.6
A0188,running,18,M,4,55.4,68.9,75.4,0.8,161,321.4,7.91,7.97,68.7
A0189,rowing,32,F,13,70.2,73.1,72.4,0.83,152,336.5,8.35,7.36,61.1
A0190,running,28,M,1,68.9,68.7,81.2,1.02,190,234.7,8.03,6.42,68.8
A0191,cycling,35,M,1,58.9,75.7,73.5,0.96,187,260.3,9.16,8.77,77.4
A0192,rowing,34,F,12,74.7,82.4,82.2,0.88,151,347.2,7.64,8.51,63.2
A0193,cycling,31,F,12,56.6,87.4,75.3,0.91,175,232.8,8.98,9.5,88.6
A0194,cycling,35,M,4,56.4,98.6,74.6,1.38,151,268.8,9.78,8.09,82.1
A0195,running,32,F,2,69.3,97.2,78.0,1.28,161,333.3,7.84,6.94,77.4
A0196,rowing,32,F,3,60.9,82.8,81.9,1.14,189,387.5,9.03,8.57,80.7
A0197,running,21,M,11,58.3,89.4,80.9,1.44,151,215.1,7.43,8.1,86.2
A0198,running,24,F,9,54.5,98.0,74.9,0.82,190,303.3,7.36,8.08,99.8
A0199,rowing,30,M,2,69.1,63.3,87.8,1.04,165,216.4,7.35,9.25,91.0
A0200,cycling,20,M,4,69.7,60.2,72.2,1.38,179,275.8,7.42,9.55,81.6
A0201,cycling,33,F,1,64.2,61.2,70.8,1.24,196,235.1,7.65,5.9,90.8
A0202,rowing,26,F,2,73.9,82.5,82.1,1.49,195,329.9,8.69,6.57,79.0
A0203,cycling,25,M,5,58.0,90.5,72.5,1.46,185,351.6,9.3,8.25,72.4
A0204,rowing,30,M,14,55.5,74.7,80.1,0.92,153,249.5,7.38,7.79,70.5
A0205,rowing,34,M,10,66.9,81.8,89.0,1.48,160,342.6,9.61,8.26,76.0
A0206,running,34,M,15,69.0,80.7,84.0,1.46,173,289.4,9.53,7.17,60.1
A0207,rowing,34,M,1,55.6,63.8,82.3,1.06,167,256.7,9.18,7.06,67.1
A0208,running,18,M,11,51.9,72.9,81.5,1.49,176,304.7,8.28,5.59,65.1
A0209,cycling,25,F,7,70.3,60.8,73.6,0.83,186,275.9,7.0,8.12,98.4
A0210,cycling,23,F,4,74.4,64.4,78.7,1.26,151,246.0,9.2,5.88,62.6
A0211,cycling,20,F,6,66.1,92.5,76.9,0.99,164,351.4,9.64,8.36,80.0
A0212,cycling,22,M,8,56.9,93.2,89.1,0.89,160,359.5,8.01,9.84,96.8
A0213,running,30,F,13,74.9,92.1,74.8,1.2,176,360.1,9.15,6.28,84.3
A0214,cycling,32,M,6,72.3,89.1,79.4,1.01,198,276.4,7.19,5.71,79.8
A0215,rowing,31,M,14,62.8,91.7,88.8,1.27,197,233.9,9.13,5.12,89.7
A0216,rowing,33,F,2,70.6,86.8,85.8,1.18,196,368.1,7.2,6.89,74.1
A0217,rowing,35,M,1,70.4,86.8,89.3,1.07,172,265.9,8.76,6.07,67.7
A0218,running,28,M,8,73.4,86.7,82.2,0.93,184,349.6,8.79,7.46,93.9
A0219,cycling,20,M,8,71.0,80.6,76.7,1.22,179,363.5,7.91,7.62,62.3
A0220,cycling,27,M,9,66.1,74.5,86.5,1.38,196,353.6,7.24,6.75,92.3
A0221,cycling,27,M,6,65.2,89.2,75.8,1.22,173,278.0,9.85,8.75,64.1
A0222,running,33,M,12,61.7,71.9,73.3,1.23,168,387.6,8.61,9.52,85.0
A0223,rowing,29,F,1,65.7,81.7,84.1,1.16,178,332.0,8.74,6.06,79.1
A0224,rowing,19,M,14,69.9,77.3,82.8,1.07,162,315.1,8.85,9.18,99.9
A0225,cycling,26,M,9,74.2,71.1,87.6,1.12,197,339.6,9.67,5.66,75.5
A0226,rowing,20,M,12,61.7,99.0,89.2,1.49,172,208.9,7.18,6.14,98.3
A0227,rowing,32,M,13,64.3,70.4,87.1,1.32,161,278.1,9.68,7.81,76.2
A0228,running,20,F,15,61.1,72.4,71.2,1.1,198,376.2,7.72,6.53,87.3
A0229,running,35,F,14,66.7,66.5,83.3,1.12,197,232.2,7.23,5.21,85.7
A0230,running,25,M,3,65.7,92.9,85.7,1.15,190,282.9,8.97,6.47,63.5
A0231,running,34,M,11,50.4,83.5,89.6,1.26,178,281.0,9.93,9.52,89.7
A0232,cycling,25,M,6,63.5,84.5,77.5,1.13,155,271.2,7.17,5.87,68.3
A0233,running,24,F,10,52.2,92.8,73.4,1.28,200,312.5,8.28,8.82,75.5
A0234,rowing,24,F,13,50.7,73.7,87.1,1.03,172,399.2,8.59,8.61,91.3
A0235,cycling,20,F,10,69.8,67.7,76.3,1.09,180,251.2,7.76,5.53,97.8
A0236,rowing,18,F,15,56.5,67.9,82.0,1.4,194,341.0,9.95,6.65,82.4
A0237,rowing,21,M,11,58.5,89.3,77.8,1.03,170,351.6,8.92,5.95,80.8
A0238,rowing,22,F,12,51.6,84.6,78.0,1.48,173,316.9,9.53,5.12,80.2
A0239,running,18,F,14,54.5,68.3,84.6,0.92,157,219.5,8.25,5.87,92.7
A0240,running,32,M,15,69.1,65.8,77.2,0.97,193,314.5,8.06,6.01,99.7
A0241,cycling,22,M,9,62.3,64.8,83.9,1.12,158,390.7,8.66,5.83,85.3
A0242,cycling,30,F,11,72.0,85.1,70.3,1.36,171,268.4,8.31,5.46,75.1
A0243,running,25,F,13,59.9,60.0,76.5,1.31,153,327.9,9.14,7.63,68.7
A0244,rowing,25,F,3,56.7,60.7,76.4,0.92,162,391.9,7.8,6.61,68.0
A0245,cycling,22,F,5,58.7,75.6,85.0,0.97,183,359.6,8.35,9.54,94.2
A0246,running,26,M,13,67.8,87.7,76.3,1.2,152,337.7,9.69,5.94,99.7
A0247,running,18,M,14,63.9,87.8,82.7,1.01,186,394.2,9.27,8.01,87.9
A0248,running,21,F,5,72.6,77.2,83.8,1.1,177,234.1,7.5,9.5,98.2
A0249,rowing,20,F,10,65.1,87.6,83.2,1.14,175,354.5,9.66,5.24,74.0
A0250,running,19,F,7,62.3,80.8,82.1,1.22,199,281.4,8.77,7.58,85.1
A0251,running,25,F,4,69.6,99.1,78.3,0.98,195,272.1,9.04,7.25,80.5
A0252,running,26,F,11,73.7,66.5,77.5,0.91,183,304.1,7.88,9.64,79.3
A0253,running,19,M,4,58.9,84.0,81.3,1.08,164,206.8,8.32,8.32,85.3
A0254,cycling,31,M,7,56.2,79.6,71.3,0.86,157,262.5,9.42,6.75,72.4
A0255,cycling,31,M,9,65.4,67.8,87.5,1.17,197,233.2,7.99,8.56,85.6
A0256,running,21,F,15,62.5,90.0,86.5,1.39,184,227.7,7.5,7.91,86.9
A0257,rowing,23,F,11,74.7,71.0,76.9,0.88,173,267.5,8.13,6.74,93.4
A0258,cycling,28,M,4,61.6,75.3,81.3,0.88,186,360.5,7.21,8.93,89.2
A0259,running,20,M,4,51.9,75.0,88.6,0.86,153,240.2,9.15,8.34,72.8
A0260,cycling,25,F,6,74.4,69.8,75.4,1.39,161,306.3,7.44,5.03,78.0
A0261,cycling,20,M,6,71.1,77.2,84.8,0.86,168,349.7,7.86,9.33,64.8
A0262,rowing,31,F,7,54.5,78.9,71.7,1.49,164,248.2,9.64,6.99,70.3
A0263,running,30,F,15,72.6,89.8,80.5,1.05,179,384.8,8.62,8.23,80.8
A0264,running,30,M,1,58.5,90.6,87.7,1.03,194,373.3,7.96,6.98,64.0
A0265,rowing,19,M,13,59.4,66.3,81.0,0.86,186,250.2,8.64,9.41,82.8
A0266,rowing,30,M,11,72.7,83.7,82.3,1.21,161,397.9,7.65,8.25,75.6
A0267,running,23,F,14,63.3,95.8,88.2,1.21,168,333.8,7.08,7.9,61.4
A0268,running,33,F,3,53.4,64.4,84.3,1.15,183,257.2,8.81,9.9,77.4
A0269,rowing,19,M,9,59.2,78.9,83.9,1.02,156,336.2,9.14,6.4,71.2
A0270,cycling,25,F,6,68.1,90.0,81.7,1.06,177,333.2,9.64,5.33,62.7
A0271,cycling,34,F,6,54.4,84.5,82.7,1.02,177,321.2,9.32,7.58,71.7
A0272,rowing,19,F,5,64.8,64.0,86.1,1.1,178,342.3,9.78,7.12,71.8
A0273,cycling,27,M,11,67.4,75.9,89.6,1.04,186,253.7,9.96,7.27,74.2
A0274,rowing,33,F,3,58.6,80.3,85.9,1.27,169,395.8,9.23,8.1,74.7
A0275,cycling,23,M,11,67.3,99.8,84.2,1.01,160,371.6,9.6,8.08,77.2
A0276,cycling,19,M,5,72.1,67.1,72.7,1.05,199,349.1,9.02,6.96,63.7
A0277,running,19,F,14,61.8,99.3,86.3,1.1,199,205.3,7.51,9.31,60.2
A0278,running,30,M,1,59.6,75.0,84.7,0.8,188,318.1,7.55,8.26,89.4
A0279,cycling,32,F,3,56.3,68.0,85.4,1.14,191,341.3,7.33,9.45,73.5
A0280,cycling,19,M,4,65.1,76.6,74.6,0.98,172,370.8,9.83,9.57,84.5
A0281,running,24,M,5,72.0,84.6,88.1,0.84,195,389.2,9.02,5.84,72.3
A0282,running,20,F,10,58.1,68.5,71.9,1.44,169,383.2,9.37,8.4,99.4
A0283,running,25,M,9,59.9,71.7,75.1,1.03,169,281.2,7.99,6.59,72.6
A0284,rowing,31,M,4,60.2,94.2,83.3,1.1,160,379.3,8.38,9.18,84.2
A0285,cycling,24,M,3,64.0,100.0,83.5,1.38,151,200.1,7.12,8.66,68.8
A0286,running,24,F,10,55.7,72.7,76.3,0.92,162,270.3,9.67,5.99,80.7
A0287,cycling,18,F,1,70.6,66.0,84.0,1.4,162,222.8,9.56,9.69,83.2
A0288,rowing,34,M,13,57.4,91.7,77.8,0.97,190,376.6,9.35,8.42,67.3
A0289,rowing,26,M,10,67.6,84.0,70.0,1.21,198,385.6,7.17,9.74,64.9
A0290,running,30,M,6,62.8,64.0,73.3,1.28,164,251.2,7.52,6.01,98.9
A0291,rowing,34,F,7,64.6,97.9,87.7,1.43,180,273.5,8.0,9.35,95.7
A0292,cycling,27,F,10,54.5,63.1,74.5,1.23,172,396.8,7.79,8.34,86.4
A0293,running,27,M,15,68.4,85.0,72.3,1.12,171,313.2,9.52,7.76,94.4
